"Notes"	"Year"	"Year Code"	"Cancer Sites"	"Cancer Sites Code"	Count
	"2000"	"2000"	"Non-Hodgkin Lymphoma"	"33041-33042"	3901
	"2000"	"2000"	"NHL - Nodal"	"33041"	2703
	"2000"	"2000"	"NHL - Extranodal"	"33042"	1198
	"2000"	"2000"	"Myeloma"	"34000"	1257
	"2000"	"2000"	"Leukemias"	"35011-35043"	2786
	"2000"	"2000"	"Acute Lymphocytic Leukemia"	"35011"	257
	"2000"	"2000"	"Chronic Lymphocytic Leukemia"	"35012"	1036
	"2000"	"2000"	"Acute Myeloid Leukemia"	"35021"	821
	"2000"	"2000"	"Chronic Myeloid Leukemia"	"35022"	339
	"2000"	"2000"	"Other Leukemias"	"35041-35043"	333
	"2000"	"2000"	"Other Lymphocytic Leukemia"	"35013"	92
	"2000"	"2000"	"Acute Monocytic Leukemia"	"35031"	36
	"2000"	"2000"	"Other Acute Leukemia"	"35041"	73
	"2000"	"2000"	"Aleukemic, Subleukemic and NOS"	"35043"	100
	"2000"	"2000"	"Other Myeloid/Monocytic Leukemia"	"35023"	32
	"2000"	"2000"	"Mesothelioma"	"36010"	197
	"2000"	"2000"	"Kaposi Sarcoma"	"36020"	207
	"2000"	"2000"	"Miscellaneous"	"37000"	2002
	"2000"	"2000"	"Male and Female Breast, In Situ"	"Breast-InSitu"	3463
	"2000"	"2000"	"Female Breast, In Situ"	"Breast-InSitu-Female"	3450
	"2001"	"2001"	"All Invasive Cancer Sites Combined"	"0"	98099
	"2001"	"2001"	"Oral Cavity and Pharynx"	"20010-20100"	1903
	"2001"	"2001"	"Lip"	"20010"	90
	"2001"	"2001"	"Tongue"	"20020"	474
	"2001"	"2001"	"Salivary Gland"	"20030"	265
	"2001"	"2001"	"Floor of Mouth"	"20040"	131
	"2001"	"2001"	"Gum and Other Mouth"	"20050"	287
	"2001"	"2001"	"Nasopharynx"	"20060"	143
	"2001"	"2001"	"Tonsil"	"20070"	235
	"2001"	"2001"	"Oropharynx"	"20080"	95
	"2001"	"2001"	"Hypopharynx"	"20090"	126
	"2001"	"2001"	"Other Oral Cavity and Pharynx"	"20100"	57
	"2001"	"2001"	"Digestive System"	"21010-21130"	19515
	"2001"	"2001"	"Esophagus"	"21010"	944
	"2001"	"2001"	"Stomach"	"21020"	1916
	"2001"	"2001"	"Small Intestine"	"21030"	339
	"2001"	"2001"	"Colon and Rectum"	"21041-21052"	11396
	"2001"	"2001"	"Colon excluding Rectum"	"21041-21049"	8307
	"2001"	"2001"	"Cecum"	"21041"	1647
	"2001"	"2001"	"Appendix"	"21042"	97
	"2001"	"2001"	"Ascending Colon"	"21043"	1522
	"2001"	"2001"	"Hepatic Flexure"	"21044"	389
	"2001"	"2001"	"Transverse Colon"	"21045"	687
	"2001"	"2001"	"Splenic Flexure"	"21046"	253
	"2001"	"2001"	"Descending Colon"	"21047"	504
	"2001"	"2001"	"Sigmoid Colon"	"21048"	2395
	"2001"	"2001"	"Large Intestine, NOS"	"21049"	813
	"2001"	"2001"	"Rectum and Rectosigmoid Junction"	"21051-21052"	3089
	"2001"	"2001"	"Rectosigmoid Junction"	"21051"	1039
	"2001"	"2001"	"Rectum"	"21052"	2050
	"2001"	"2001"	"Anus, Anal Canal and Anorectum"	"21060"	312
	"2001"	"2001"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	1239
	"2001"	"2001"	"Liver"	"21071"	1122
	"2001"	"2001"	"Intrahepatic Bile Duct"	"21072"	117
	"2001"	"2001"	"Gallbladder"	"21080"	283
	"2001"	"2001"	"Other Biliary"	"21090"	325
	"2001"	"2001"	"Pancreas"	"21100"	2500
	"2001"	"2001"	"Retroperitoneum"	"21110"	77
	"2001"	"2001"	"Peritoneum, Omentum and Mesentery"	"21120"	105
	"2001"	"2001"	"Other Digestive Organs"	"21130"	79
	"2001"	"2001"	"Respiratory System"	"22010-22060"	13805
	"2001"	"2001"	"Nose, Nasal Cavity and Middle Ear"	"22010"	115
	"2001"	"2001"	"Larynx"	"22020"	837
	"2001"	"2001"	"Lung and Bronchus"	"22030"	12807
	"2001"	"2001"	"Trachea, Mediastinum and Other Respiratory Organs"	"22060"	40
	"2001"	"2001"	"Bones and Joints"	"23000"	230
	"2001"	"2001"	"Soft Tissue including Heart"	"24000"	583
	"2001"	"2001"	"Skin excluding Basal and Squamous"	"25010-25020"	2727
	"2001"	"2001"	"Melanoma of the Skin"	"25010"	2472
	"2001"	"2001"	"Other Non-Epithelial Skin"	"25020"	255
	"2001"	"2001"	"Male and Female Breast"	"26000"	14041
	"2001"	"2001"	"Female Breast"	"26000-Female"	13921
	"2001"	"2001"	"Male Breast"	"26000-Male"	120
	"2001"	"2001"	"Female Genital System"	"27010-27070"	6127
	"2001"	"2001"	"Cervix Uteri"	"27010"	954
	"2001"	"2001"	"Corpus Uteri"	"27020"	2996
	"2001"	"2001"	"Uterus, NOS"	"27030"	100
	"2001"	"2001"	"Ovary"	"27040"	1685
	"2001"	"2001"	"Vagina"	"27050"	68
	"2001"	"2001"	"Vulva"	"27060"	261
	"2001"	"2001"	"Other Female Genital Organs"	"27070"	63
	"2001"	"2001"	"Male Genital System"	"28010-28040"	15618
	"2001"	"2001"	"Prostate"	"28010"	15052
	"2001"	"2001"	"Testis"	"28020"	475
	"2001"	"2001"	"Penis"	"28030"	78
	"2001"	"2001"	"Urinary System"	"29010-29040"	7440
	"2001"	"2001"	"Urinary Bladder, invasive and in situ"	"29010"	4615
	"2001"	"2001"	"Kidney and Renal Pelvis"	"29020"	2630
	"2001"	"2001"	"Ureter"	"29030"	112
	"2001"	"2001"	"Other Urinary Organs"	"29040"	83
	"2001"	"2001"	"Eye and Orbit"	"30000"	188
	"2001"	"2001"	"Brain and Other Nervous System"	"31010-31040"	1363
	"2001"	"2001"	"Brain"	"31010"	1232
	"2001"	"2001"	"Cranial Nerves Other Nervous System"	"31040"	131
	"2001"	"2001"	"Endocrine System"	"32010-32020"	2008
	"2001"	"2001"	"Thyroid"	"32010"	1836
	"2001"	"2001"	"Other Endocrine including Thymus"	"32020"	172
	"2001"	"2001"	"Lymphomas"	"33011-33042"	4556
	"2001"	"2001"	"Hodgkin Lymphoma"	"33011-33012"	643
	"2001"	"2001"	"Hodgkin - Nodal"	"33011"	608
	"2001"	"2001"	"Hodgkin - Extranodal"	"33012"	35
	"2001"	"2001"	"Non-Hodgkin Lymphoma"	"33041-33042"	3913
	"2001"	"2001"	"NHL - Nodal"	"33041"	2563
	"2001"	"2001"	"NHL - Extranodal"	"33042"	1350
	"2001"	"2001"	"Myeloma"	"34000"	1275
	"2001"	"2001"	"Leukemias"	"35011-35043"	2737
	"2001"	"2001"	"Acute Lymphocytic Leukemia"	"35011"	253
	"2001"	"2001"	"Chronic Lymphocytic Leukemia"	"35012"	1029
	"2001"	"2001"	"Acute Myeloid Leukemia"	"35021"	801
	"2001"	"2001"	"Chronic Myeloid Leukemia"	"35022"	335
	"2001"	"2001"	"Other Leukemias"	"35041-35043"	319
	"2001"	"2001"	"Other Lymphocytic Leukemia"	"35013"	97
	"2001"	"2001"	"Acute Monocytic Leukemia"	"35031"	34
	"2001"	"2001"	"Other Acute Leukemia"	"35041"	85
	"2001"	"2001"	"Aleukemic, Subleukemic and NOS"	"35043"	81
	"2001"	"2001"	"Other Myeloid/Monocytic Leukemia"	"35023"	22
	"2001"	"2001"	"Mesothelioma"	"36010"	214
	"2001"	"2001"	"Kaposi Sarcoma"	"36020"	214
	"2001"	"2001"	"Miscellaneous"	"37000"	3555
	"2001"	"2001"	"Male and Female Breast, In Situ"	"Breast-InSitu"	3448
	"2001"	"2001"	"Female Breast, In Situ"	"Breast-InSitu-Female"	3438
	"2002"	"2002"	"All Invasive Cancer Sites Combined"	"0"	99308
	"2002"	"2002"	"Oral Cavity and Pharynx"	"20010-20100"	1979
	"2002"	"2002"	"Lip"	"20010"	79
	"2002"	"2002"	"Tongue"	"20020"	516
	"2002"	"2002"	"Salivary Gland"	"20030"	254
	"2002"	"2002"	"Floor of Mouth"	"20040"	132
	"2002"	"2002"	"Gum and Other Mouth"	"20050"	317
	"2002"	"2002"	"Nasopharynx"	"20060"	148
	"2002"	"2002"	"Tonsil"	"20070"	219
	"2002"	"2002"	"Oropharynx"	"20080"	105
	"2002"	"2002"	"Hypopharynx"	"20090"	157
	"2002"	"2002"	"Other Oral Cavity and Pharynx"	"20100"	52
	"2002"	"2002"	"Digestive System"	"21010-21130"	19467
	"2002"	"2002"	"Esophagus"	"21010"	985
	"2002"	"2002"	"Stomach"	"21020"	1872
	"2002"	"2002"	"Small Intestine"	"21030"	350
	"2002"	"2002"	"Colon and Rectum"	"21041-21052"	11296
	"2002"	"2002"	"Colon excluding Rectum"	"21041-21049"	8264
	"2002"	"2002"	"Cecum"	"21041"	1694
	"2002"	"2002"	"Appendix"	"21042"	122
	"2002"	"2002"	"Ascending Colon"	"21043"	1518
	"2002"	"2002"	"Hepatic Flexure"	"21044"	377
	"2002"	"2002"	"Transverse Colon"	"21045"	721
	"2002"	"2002"	"Splenic Flexure"	"21046"	272
	"2002"	"2002"	"Descending Colon"	"21047"	523
	"2002"	"2002"	"Sigmoid Colon"	"21048"	2286
	"2002"	"2002"	"Large Intestine, NOS"	"21049"	751
	"2002"	"2002"	"Rectum and Rectosigmoid Junction"	"21051-21052"	3032
	"2002"	"2002"	"Rectosigmoid Junction"	"21051"	1000
	"2002"	"2002"	"Rectum"	"21052"	2032
	"2002"	"2002"	"Anus, Anal Canal and Anorectum"	"21060"	305
	"2002"	"2002"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	1264
	"2002"	"2002"	"Liver"	"21071"	1135
	"2002"	"2002"	"Intrahepatic Bile Duct"	"21072"	129
	"2002"	"2002"	"Gallbladder"	"21080"	287
	"2002"	"2002"	"Other Biliary"	"21090"	340
	"2002"	"2002"	"Pancreas"	"21100"	2534
	"2002"	"2002"	"Retroperitoneum"	"21110"	70
	"2002"	"2002"	"Peritoneum, Omentum and Mesentery"	"21120"	102
	"2002"	"2002"	"Other Digestive Organs"	"21130"	62
	"2002"	"2002"	"Respiratory System"	"22010-22060"	14025
	"2002"	"2002"	"Nose, Nasal Cavity and Middle Ear"	"22010"	140
	"2002"	"2002"	"Larynx"	"22020"	818
	"2002"	"2002"	"Lung and Bronchus"	"22030"	13022
	"2002"	"2002"	"Trachea, Mediastinum and Other Respiratory Organs"	"22060"	39
	"2002"	"2002"	"Bones and Joints"	"23000"	225
	"2002"	"2002"	"Soft Tissue including Heart"	"24000"	598
	"2002"	"2002"	"Skin excluding Basal and Squamous"	"25010-25020"	2861
	"2002"	"2002"	"Melanoma of the Skin"	"25010"	2586
	"2002"	"2002"	"Other Non-Epithelial Skin"	"25020"	275
	"2002"	"2002"	"Male and Female Breast"	"26000"	14057
	"2002"	"2002"	"Female Breast"	"26000-Female"	13920
	"2002"	"2002"	"Male Breast"	"26000-Male"	137
	"2002"	"2002"	"Female Genital System"	"27010-27070"	6135
	"2002"	"2002"	"Cervix Uteri"	"27010"	935
	"2002"	"2002"	"Corpus Uteri"	"27020"	3002
	"2002"	"2002"	"Uterus, NOS"	"27030"	102
	"2002"	"2002"	"Ovary"	"27040"	1657
	"2002"	"2002"	"Vagina"	"27050"	78
	"2002"	"2002"	"Vulva"	"27060"	270
	"2002"	"2002"	"Other Female Genital Organs"	"27070"	91
	"2002"	"2002"	"Male Genital System"	"28010-28040"	16033
	"2002"	"2002"	"Prostate"	"28010"	15467
	"2002"	"2002"	"Testis"	"28020"	465
	"2002"	"2002"	"Penis"	"28030"	82
	"2002"	"2002"	"Other Male Genital Organs"	"28040"	19
	"2002"	"2002"	"Urinary System"	"29010-29040"	7558
	"2002"	"2002"	"Urinary Bladder, invasive and in situ"	"29010"	4712
	"2002"	"2002"	"Kidney and Renal Pelvis"	"29020"	2666
	"2002"	"2002"	"Ureter"	"29030"	106
	"2002"	"2002"	"Other Urinary Organs"	"29040"	74
	"2002"	"2002"	"Eye and Orbit"	"30000"	180
	"2002"	"2002"	"Brain and Other Nervous System"	"31010-31040"	1368
	"2002"	"2002"	"Brain"	"31010"	1245
	"2002"	"2002"	"Cranial Nerves Other Nervous System"	"31040"	123
	"2002"	"2002"	"Endocrine System"	"32010-32020"	2054
	"2002"	"2002"	"Thyroid"	"32010"	1879
	"2002"	"2002"	"Other Endocrine including Thymus"	"32020"	175
	"2002"	"2002"	"Lymphomas"	"33011-33042"	4673
	"2002"	"2002"	"Hodgkin Lymphoma"	"33011-33012"	700
	"2002"	"2002"	"Hodgkin - Nodal"	"33011"	670
	"2002"	"2002"	"Hodgkin - Extranodal"	"33012"	30
	"2002"	"2002"	"Non-Hodgkin Lymphoma"	"33041-33042"	3973
	"2002"	"2002"	"NHL - Nodal"	"33041"	2651
	"2002"	"2002"	"NHL - Extranodal"	"33042"	1322
	"2002"	"2002"	"Myeloma"	"34000"	1341
	"2002"	"2002"	"Leukemias"	"35011-35043"	2623
	"2002"	"2002"	"Acute Lymphocytic Leukemia"	"35011"	265
	"2002"	"2002"	"Chronic Lymphocytic Leukemia"	"35012"	994
	"2002"	"2002"	"Acute Myeloid Leukemia"	"35021"	741
	"2002"	"2002"	"Chronic Myeloid Leukemia"	"35022"	307
	"2002"	"2002"	"Other Leukemias"	"35041-35043"	316
	"2002"	"2002"	"Other Lymphocytic Leukemia"	"35013"	85
	"2002"	"2002"	"Acute Monocytic Leukemia"	"35031"	26
	"2002"	"2002"	"Other Acute Leukemia"	"35041"	72
	"2002"	"2002"	"Aleukemic, Subleukemic and NOS"	"35043"	102
	"2002"	"2002"	"Other Myeloid/Monocytic Leukemia"	"35023"	31
	"2002"	"2002"	"Mesothelioma"	"36010"	208
	"2002"	"2002"	"Kaposi Sarcoma"	"36020"	184
	"2002"	"2002"	"Miscellaneous"	"37000"	3739
	"2002"	"2002"	"Male and Female Breast, In Situ"	"Breast-InSitu"	3373
	"2002"	"2002"	"Female Breast, In Situ"	"Breast-InSitu-Female"	3357
	"2002"	"2002"	"Male Breast, In Situ"	"Breast-InSitu-Male"	16
	"2003"	"2003"	"All Invasive Cancer Sites Combined"	"0"	99454
	"2003"	"2003"	"Oral Cavity and Pharynx"	"20010-20100"	1952
	"2003"	"2003"	"Lip"	"20010"	70
	"2003"	"2003"	"Tongue"	"20020"	527
	"2003"	"2003"	"Salivary Gland"	"20030"	281
	"2003"	"2003"	"Floor of Mouth"	"20040"	121
	"2003"	"2003"	"Gum and Other Mouth"	"20050"	292
	"2003"	"2003"	"Nasopharynx"	"20060"	134
	"2003"	"2003"	"Tonsil"	"20070"	270
	"2003"	"2003"	"Oropharynx"	"20080"	93
	"2003"	"2003"	"Hypopharynx"	"20090"	131
	"2003"	"2003"	"Other Oral Cavity and Pharynx"	"20100"	33
	"2003"	"2003"	"Digestive System"	"21010-21130"	19687
	"2003"	"2003"	"Esophagus"	"21010"	1036
	"2003"	"2003"	"Stomach"	"21020"	1995
	"2003"	"2003"	"Small Intestine"	"21030"	393
	"2003"	"2003"	"Colon and Rectum"	"21041-21052"	11033
	"2003"	"2003"	"Colon excluding Rectum"	"21041-21049"	8023
	"2003"	"2003"	"Cecum"	"21041"	1699
	"2003"	"2003"	"Appendix"	"21042"	126
	"2003"	"2003"	"Ascending Colon"	"21043"	1518
	"2003"	"2003"	"Hepatic Flexure"	"21044"	392
	"2003"	"2003"	"Transverse Colon"	"21045"	656
	"2003"	"2003"	"Splenic Flexure"	"21046"	286
	"2003"	"2003"	"Descending Colon"	"21047"	480
	"2003"	"2003"	"Sigmoid Colon"	"21048"	2141
	"2003"	"2003"	"Large Intestine, NOS"	"21049"	725
	"2003"	"2003"	"Rectum and Rectosigmoid Junction"	"21051-21052"	3010
	"2003"	"2003"	"Rectosigmoid Junction"	"21051"	891
	"2003"	"2003"	"Rectum"	"21052"	2119
	"2003"	"2003"	"Anus, Anal Canal and Anorectum"	"21060"	340
	"2003"	"2003"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	1360
	"2003"	"2003"	"Liver"	"21071"	1213
	"2003"	"2003"	"Intrahepatic Bile Duct"	"21072"	147
	"2003"	"2003"	"Gallbladder"	"21080"	302
	"2003"	"2003"	"Other Biliary"	"21090"	352
	"2003"	"2003"	"Pancreas"	"21100"	2610
	"2003"	"2003"	"Retroperitoneum"	"21110"	102
	"2003"	"2003"	"Peritoneum, Omentum and Mesentery"	"21120"	107
